"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Solomon Islands",7,1.02,0.01,-0.12,-0.1,-0.08,0.06,0.05,2.3,0,0,0,-0.52,-0.52,0,-0.25,-0.12,0.01,5.59,2.95
"Bangladesh",204,1.01,0.18,-0.24,-0.1,0.05,0,0,-0.02,0.01,0,0,0.1,0.04,0.14,-0.44,-0.29,-0.14,10.29,0.03
"Angola",200,1,-0.18,0.07,0.17,0.28,-0.07,-0.05,0.24,1.5,0.8,0.1,-0.56,-0.56,0,0.06,0.03,0,9.99,-0.43
"Poland",178,0.94,0.65,-0.34,-1.17,-2,-0.05,-0.04,0.39,0,0.1,0.2,0.26,0.26,0,0,0,0,8.82,0.49
"Tonga",155,0.93,0.1,-0.04,-0.03,-0.02,0.02,0.04,1.33,2.04,1.02,0,-0.17,0.12,-0.01,-0.14,-0.07,0,2.57,4.26
"Sao Tome and Principe",103,0.91,0.09,-0.03,-0.52,-1.01,,,1.84,0,0,0,0.62,0.62,0,-0.66,-0.32,0.01,,4.65
"Senegal",66,0.91,0.16,-0.01,0.01,0.04,0.01,0.01,0.59,1.21,0.61,0,0.51,0.49,0.02,-0.05,0.71,1.47,6.9,-0.37
"North Korea",21,0.9,0.8,-0.08,-0.14,-0.2,-0.85,,0.07,-0.47,-0.07,0.33,-0.18,0.25,0.3,0.55,0.27,0,7.77,0
"Saint Vincent and the Grenadines",127,0.9,0.16,-0.14,-0.09,-0.05,-0.08,-0.07,0.81,0.52,0.24,-0.04,0.17,0.17,0,-0.34,-0.18,-0.02,5.22,2.78
"Russia",73,0.89,-0.02,0.03,0.01,0,-1.23,0,0.44,0,0.42,0.85,-0.1,-0.1,0.13,0.38,0.2,0.02,9.67,-0.48
"Mauritania",64,0.85,0.03,-0.06,-0.66,-1.27,,,-0.74,0.07,-0.02,-0.12,0.46,0.46,0,-0.26,-0.13,0,10.27,-2.4
"Philippines",15,0.85,0.35,-0.15,0.19,0.53,0.04,0.05,0.31,0.46,-0.11,-0.68,0.53,0.17,0.04,-0.26,-0.02,0.21,7,0.51
"Faeroe Islands",141,0.84,0.21,-0.26,-0.08,0.09,,,-0.01,0.52,0.1,-0.32,-0.89,-0.3,0.95,0.84,0.16,-0.52,5.53,1.13
"Ivory Coast",195,0.8,0.33,0.11,-0.1,-0.32,0.05,0.05,-1,1.34,0.67,0,0.23,0.23,0,-0.5,-0.24,0.02,7.7,0.31
"Tuvalu",19,0.78,0.15,-0.21,-0.1,0,0,,0.07,5.85,2.93,0,-0.74,-0.73,0,-0.5,-0.25,0,,4.21
"Egypt",214,0.76,0.11,-0.28,-0.14,0,0,-0.09,-0.23,0,-0.18,-0.36,-0.21,0.3,0.53,-0.03,-0.13,-0.23,6.38,1.57
"Venezuela",139,0.69,0.12,-0.13,-0.1,-0.07,-0.12,-0.11,0.34,0.48,1.46,2.45,0.6,0.22,0.02,-0.29,-0.19,-0.09,8.43,-3.13
"Wallis and Futuna",161,0.69,0.11,-0.19,-0.1,-0.02,0,,1.58,1.7,0.86,0.02,-0.72,-0.72,0,-0.76,-0.38,0,,4.19
"Tokelau",156,0.66,0.11,-0.22,-0.14,-0.05,-0.27,0,2.03,1.7,0.86,0.02,-0.48,-0.48,0,-0.65,-0.33,0,,4.18
"Guernsey",228,0.62,0.26,-0.13,0.31,0.76,-0.02,-0.01,0.8,0.49,0.09,-0.32,1.44,1.44,0,0.34,1.5,2.66,,1.19
"United Arab Emirates",54,0.6,0,-0.12,-0.06,0,-0.01,0.02,0.98,0,0,0,0.57,-0.01,0.03,-0.26,0.36,0.98,2.7,1.99
"French Polynesia",147,0.57,0.11,-0.25,-0.12,0,0,-0.03,0.03,2.92,1.46,0,-0.69,0.48,-0.02,-0.32,-0.16,0,-0.17,4.05
"Liberia",97,0.56,-0.02,-0.02,0,0.01,0,0,0.1,0,0,0,0.26,0.26,0,-0.69,-0.35,0,,5.05
"Ascension",85,0.55,0.21,0.03,0.56,1.09,,,-0.06,0.53,0.1,-0.32,0.27,0.27,0,-0.32,1.75,3.82,,0.99
"Kerguelen Islands",93,0.54,,0.47,0.23,0,,,0,,,,1.39,1.39,,1.05,0.53,0,,
"Republique du Congo",100,0.54,-0.12,0.08,0.39,0.7,,,0.88,2.01,1.01,0.02,0.16,0.16,0,-0.51,0.6,1.72,,0.88
"Ireland",181,0.51,0.66,-0.14,-0.07,-0.01,-0.02,-0.01,0.5,0.35,0.19,0.03,-0.07,-0.2,-0.22,0.64,0.32,0,3.77,-0.01
"Grenada",125,0.5,0.72,-0.06,-0.03,-0.01,-0.03,-0.01,0.3,0,0,0,0.33,0.33,0,-0.33,0.36,1.06,,2.9
"Niue",154,0.5,0.06,-0.14,0.06,0.26,-0.07,0.01,1.16,0,0.03,0.06,-0.63,-0.63,0,-0.55,-0.27,0,,4.14
"Qatar",190,0.5,0,-0.25,-0.13,0,0,-0.14,0.17,3.38,1.68,-0.03,0.68,0.68,0,-0.33,-0.2,-0.06,,2.42
"Romania",72,0.49,1.17,-0.05,-0.02,0,,,0.37,0,-0.11,-0.23,2.94,2.92,0.04,0.05,0.02,0,-1.09,0.64
"Azores",55,0.47,0.7,-0.07,1,2.06,,,0.04,0,0.05,0.09,0.17,0.17,0,0.35,-0.28,-0.92,,1.62
"Gabon",198,0.47,0.04,0.16,0.1,0.04,0.19,0.21,-0.05,1.98,1.02,0.05,0.66,0.66,0,-0.57,1.74,4.04,,0.36
"Myanmar",205,0.47,0.47,0.04,0.16,0.27,0.25,0.27,-0.88,1.73,0.87,0,0.06,0.05,-0.04,-0.07,0.37,0.8,2.71,0.44
"Vietnam",207,0.47,0.34,-0.14,-0.11,-0.09,0.02,0.05,0.51,1.21,0.65,0.08,0.07,0.08,0.32,-0.36,-0.15,0.06,2.8,0.5
"Madeira",57,0.46,0.69,-0.17,0.23,0.64,,,0.19,-0.01,0.05,0.11,0.21,0.21,0,0.35,0.17,0,,1.65
"Albania",82,0.44,0.26,-0.16,-0.08,0,,,0.43,0,0,0,0.61,0.05,0.39,0.09,-0.25,-0.6,1.45,1.67
"Heard and McDonald Islands",94,0.43,,0.09,0.05,0,,,0,,,,0.93,0.93,,1.46,0.73,0,,
"American Samoa",151,0.42,0.1,-0.15,-0.08,0,-0.04,0,-0.21,1.73,0.87,0,-0.98,-0.98,0,-0.47,-0.21,0.04,,4.29
"Uruguay",173,0.42,0.17,0.06,0.03,0,,,-0.09,0,0,0,0.52,0.52,0,-0.1,-0.05,0,-0.46,3.28
"Ecuador",137,0.4,0.01,-0.04,0.01,0.05,0.02,0.06,0.57,2.37,1.18,0,-0.41,0.63,2.18,0.06,0.03,0,0.3,1.22
"Indonesia",216,0.4,0.53,-0.13,0.09,0.31,0.14,0.14,0.24,2.59,0.65,-1.28,0.06,-0.45,0.13,-0.18,1,2.18,-0.27,1.89
"Lithuania",189,0.4,0.89,-0.2,-2.39,-4.57,,,0.05,0,0.54,1.09,0.31,0.31,0,0,0,0,3.05,0.77
"Bahamas",110,0.39,-0.1,-0.1,-0.08,-0.07,-0.15,0,-0.26,0.2,0.62,1.04,0.43,0.43,0,-0.19,1.59,3.37,1.87,0
"Prince Edward Islands",90,0.38,,0.2,0.1,0,,,-1.48,,,,0.44,0.44,,1.27,2.48,3.68,,
"Italy",184,0.35,0.14,-0.23,-0.12,0,0,0,-0.29,0,0.18,0.36,0.08,0.47,-0.34,0.28,0.14,0,1.59,1.36
"Mozambique",41,0.35,0,-0.13,-0.22,-0.31,-0.18,0,0.09,0,0,0,0.29,0.29,0,0,-0.57,-1.14,4.28,-0.15
"United Kingdom",180,0.35,0.18,-0.08,1.11,2.3,-0.22,0,0.34,0.45,-0.09,-0.63,-0.34,-0.22,-0.22,0.57,0.28,0,1.54,0.61
"Crozet Islands",91,0.33,,0.43,0.43,,,,0.03,,,,0.34,0.34,,1.04,0.52,0,,
"Tristan da Cunha",88,0.33,0.21,0.16,0.79,1.41,,,-0.07,0.51,0.1,-0.32,0.47,0.47,0,-0.32,-0.16,0,,1
"Oecussi Ambeno",237,0.32,0.27,-0.19,-0.22,-0.26,0.01,0.03,1.43,1.24,0.54,-0.16,-0.11,-0.11,0,-0.34,-0.16,0.03,,1.13
"Amsterdam Island and Saint Paul Island",92,0.31,,0.39,0.2,0,,,0.03,,,,0.5,0.5,,1.03,0.51,0,,
"Macquarie Island",4,0.31,,0.08,0.04,0,,,-0.12,,,,1.44,1.44,,-0.23,-0.11,0,,
"Denmark",175,0.29,0.14,-0.25,-0.1,0.05,0,0,-0.33,0.45,0.41,0.38,1.2,1.21,0.98,0.14,0.07,0,0.96,0.54
"Greenland",145,0.28,0.21,-0.18,-0.21,-0.24,-0.04,,0.65,0,0,0,0.13,0.13,0,0.6,0.3,0,,1.17
"Bassas da India",34,0.27,,0.03,0.02,0.01,0,,0.03,,,,0.81,0.81,,0.95,0.47,0,,
"Bulgaria",71,0.26,0.63,-0.13,-0.06,0,,,0.04,0,0.01,0.02,1.49,2.21,0,0,0,0,-1.28,0.53
"Panama",129,0.26,0.82,0,0.18,0.35,-0.05,0,0.68,0.03,0.02,0,0.36,-0.22,0.04,-0.21,-0.1,0.01,3.94,-2.65
"Barbados",124,0.25,0.1,-0.08,-0.15,-0.22,-0.03,-0.01,-0.4,-0.36,-0.22,-0.07,0.57,0.57,0,-0.24,-0.12,0,-0.84,3.57
"Christmas Island",2,0.25,0.14,-0.1,-0.07,-0.04,0,0,-0.01,0.02,0.17,0.31,0.35,0.35,0,-0.54,-0.28,-0.01,,1.95
"Cocos Islands",1,0.25,0.14,-0.07,-0.03,0,0,0,-0.05,0.02,0.17,0.31,0.31,0.31,0,-0.42,-0.21,0,,1.94
"Germany",176,0.25,0.21,-0.18,-0.19,-0.2,0,0,-0.19,0,0.26,0.53,1.13,1.55,4.88,0.13,0.06,0,0.33,0.51
"Malta",68,0.25,1.1,-0.24,-0.12,0,-0.07,-0.03,-1.52,0.23,0.04,-0.16,-0.07,2.13,5.03,0.19,0.69,1.18,,0
"Andaman and Nicobar",26,0.24,0.3,-0.06,-0.1,-0.15,0,0.01,0.48,1.26,0.54,-0.18,0.05,0.05,0,-0.55,-0.27,0.01,,1.16
"Costa Rica",130,0.24,0.39,-0.07,-0.03,0,-0.06,-0.01,0.96,0.37,0.47,0.57,0.62,-0.08,0,-0.21,-0.1,0.01,-1.42,2.27
"Ile Europa",35,0.24,,0.03,0.02,0,0,,0,,,,0.73,0.73,,0.95,0.47,0,,
"Norfolk Island",3,0.24,0.14,-0.01,0,0,,,-0.01,0.02,0.17,0.31,-0.31,-0.31,0,-0.39,-0.19,0,,1.88
"Sierra Leone",96,0.24,-0.01,-0.02,0.02,0.06,-0.01,0,-0.27,0.12,0.09,0.06,0.73,0.73,0,-0.32,-0.21,-0.1,,1.82
"Spain",182,0.24,0.67,-0.21,-0.48,-0.74,-0.02,0,-0.39,0,-0.05,-0.1,-0.63,0.48,0,0.14,0.65,1.16,-0.12,1.62
"Iceland",143,0.23,0.51,-0.24,-1.25,-2.26,,,-1.47,0.33,-0.46,-1.25,-0.01,-0.12,0.11,0.62,0.3,-0.01,-3.03,7.36
"Ile Tromelin",36,0.23,,-0.03,-0.02,0,0,,0.03,,,,0.69,0.69,,0.94,0.47,0,,
"Maldives",39,0.23,0.25,-0.07,-0.01,0.05,0,-0.06,6.42,0.41,0.21,0,0.37,0.37,0,-0.41,-0.28,-0.15,-3.2,-1.38
"Tanzania",202,0.22,0.05,-0.12,0,0.13,-0.05,-0.03,0.68,0,0,0,0.42,0.4,0.01,-0.22,-0.11,0,0.61,0.6
"Thailand",25,0.22,0.34,-0.19,0.09,0.37,0.01,0.01,0.66,0,1.06,2.12,0.07,-0.09,-0.84,-0.62,-0.38,-0.13,-1.06,1.53
"Juan de Nova Island",33,0.21,,0,0.03,0.05,0,,0.03,0,-0.08,-0.17,0.82,0.82,,0.95,0.47,0,,
"Pakistan",53,0.21,0.16,-0.16,-0.09,-0.03,0.02,0.03,0.29,0.07,-0.27,-0.61,0.78,0.78,0,-0.38,-0.17,0.03,1.39,0.01
"French Guiana",169,0.2,0.02,-0.02,-0.01,0,0,0,0.56,0.04,0.22,0.39,0.12,0.12,0,-0.22,-0.11,0,,0.99
"Gibraltar",60,0.2,0.6,-0.33,-0.69,-1.05,,,0.04,-0.03,-0.02,0,-0.38,-0.38,0,0.09,0.04,0,,1.79
"Cape Verde",56,0.18,0.11,-0.05,-0.03,0,,,0.75,0.27,0.14,0,0.38,0.38,0,-0.21,-0.1,0.01,,0
"R_union",32,0.18,0.21,-0.02,0.06,0.14,0,,-0.16,0.89,0.39,-0.1,0.49,0.63,-0.2,0.01,0,0,,0.29
"South Korea",20,0.18,0.22,-0.18,-0.09,0,,,-0.47,0,0.09,0.18,-1.12,0.6,0,0.67,0.2,-0.27,0.09,0.76
"China",209,0.17,0.51,-0.14,-0.06,0.01,-0.26,0.02,0.1,-0.03,0.05,0.14,0.58,0.44,0,0.21,0.16,0.11,0.72,0.07
"Cyprus",81,0.17,0.12,-0.36,-0.18,-0.01,,,0.56,-0.01,-0.2,-0.4,0.46,0.28,1.55,0.18,2.41,4.63,,-1.78
"Guyana",167,0.17,0.22,0.04,0.02,0,0.04,0.05,-0.48,2.39,0.85,-0.7,0.33,0.32,0,-0.18,-0.6,-1.02,,1.13
"Montserrat",121,0.17,0.02,-0.13,1.23,2.59,-0.09,-0.07,0.11,0.34,0.15,-0.04,0.2,0.2,0,-0.45,-0.22,0,,0.18
"Antigua and Barbuda",120,0.16,0.92,-0.16,-0.06,0.04,-0.13,0,1.16,-0.79,-0.39,0,0.31,0.31,0,-0.46,-0.27,-0.09,,-0.07
"British Indian Ocean Territory",38,0.15,0.3,-0.12,-0.06,0,0,,-0.04,0.19,0.34,0.5,0.55,0.55,0,-0.09,-0.04,0,,0.15
"Seychelles",31,0.14,0.88,-0.03,-0.02,0,-0.06,0,-0.16,0.53,0.26,0,0.63,0.63,0,0.19,0.11,0.03,-0.29,0
"South Georgia and the South Sandwich Islands",89,0.14,,0.11,0.75,1.4,,,0,,,,-0.6,-0.6,,0.81,0.4,0,,
"Sudan",49,0.14,0.11,-0.2,-0.1,0,-0.17,-0.07,-0.19,0.01,0.13,0.26,0.43,0.43,0,-0.69,-0.34,0,3.92,-2.31
"Comoro Islands",28,0.09,0.05,0.12,1.14,2.16,-0.05,0,-0.95,0.49,0.09,-0.3,0.4,0.4,0,0.34,0.17,0,,-0.09
"India",203,0.09,0.46,-0.17,-0.09,-0.01,0,0.11,0.13,0,0.37,0.74,0.26,-0.16,0.37,-0.37,-0.18,0.02,-0.29,0.51
"Jersey",227,0.09,0.26,-0.27,-0.01,0.25,-0.03,-0.02,-0.76,0.51,0.1,-0.32,-0.04,-0.04,0,0.28,0.13,-0.03,,1.17
"Sweden",222,0.09,0.29,-0.3,-0.7,-1.11,-0.38,0,-0.41,0,0,0,0.73,0.71,-0.34,0.22,0.83,1.44,-0.41,0.99
"Glorioso Islands",30,0.07,,-0.08,-0.31,-0.54,0,,0.03,0,-0.08,-0.17,0.32,0.32,,0.95,0.48,0,,
"Cameroon",197,0.06,0.15,-0.03,-0.54,-1.06,0.24,0.25,-0.24,-0.03,0.04,0.12,0.97,0.97,0,-0.61,0.61,1.84,,-0.95
"Mayotte",29,0.06,0.19,-0.05,-0.02,0.01,0,-0.02,-0.25,0,0,0,0.33,0.37,0,0.25,0.18,0.12,,0.13
"Iraq",192,0.05,0.06,-0.16,-0.04,0.08,-0.06,-0.04,-0.03,2.95,1.48,0,0.33,0.33,0,-0.81,-0.4,0,,-0.86
"Saint Helena",86,0.05,0.21,0.02,0.48,0.94,,,-0.22,-0.23,-1.02,-1.81,0.08,0.08,0,-0.31,-0.16,0,,1
"Guadeloupe and Martinique",140,0.04,0.12,0.02,0.02,0.02,0,0,0.03,0.21,0.1,0,0.15,0.08,0,-0.18,-0.09,0,,0.12
"Micronesia",9,0.04,-0.01,-0.27,-0.16,-0.04,0,0,3.21,0.25,0.25,0.26,-0.41,-0.41,0,-0.49,-0.25,0,2.5,-4.76
"Northern Saint-Martin",221,0.04,0.08,-0.01,0,0,0,0,0.03,0.39,0.18,-0.04,0.17,0.17,0,-0.18,-0.09,0,,0
"British Virgin Islands",117,0.03,0.03,-0.13,0.07,0.26,-0.15,-0.12,-0.07,0.67,0.31,-0.05,0.34,0.34,0,-0.24,-0.12,-0.01,,0
"Cambodia",24,0.03,0.12,-0.23,0.02,0.27,0.04,0.05,0.65,0.17,0.06,-0.06,0.06,-0.01,0.08,-0.88,-0.43,0.02,-1.59,1.42
"Jamaica",166,0.03,0.12,-0.02,0.04,0.11,-0.03,0,0.33,0.54,0.3,0.05,0.28,0.29,0,-0.21,-0.09,0.03,-5.15,4.49
"Gambia",65,0.02,0.01,-0.07,-0.03,0,0.03,0.03,0.01,0,0,0,0.49,0.51,0,-0.56,-0.27,0.02,,-0.1
"Canada",218,0.01,0.12,-0.09,0.07,0.22,0.39,0.02,-0.31,0,-0.19,-0.38,0.01,0.03,0.03,0.16,1.4,2.63,-2.01,0.56
"Fiji",18,0.01,0.6,0.04,0.29,0.54,0.02,0.19,-0.42,1.11,0.6,0.1,-0.25,-0.25,0,0.29,0.23,0.16,-1.21,0.1
"France",179,0.01,0.1,-0.15,0.3,0.76,3,-0.04,-0.39,0,-0.02,-0.04,-0.22,-0.85,-2.38,0.55,0.27,0,-3.09,0.77
"Iran",191,0.01,0.31,-0.12,-0.04,0.05,0.02,0.05,-0.22,2.29,1.15,0,0.4,-0.05,0.7,-0.4,-0.17,0.07,1.54,-2.43
"Montenegro",186,0,0.49,-0.2,-0.1,0,,,0.47,-0.2,-0.11,-0.01,0.07,-0.31,-0.04,0.05,0.04,0.04,,-0.49
"Australia",16,-0.01,0.13,-0.04,-0.02,0,0,0,-0.48,0,0.19,0.38,0.02,-0.34,0,0.09,0.05,0,0.38,-0.03
"Wake Island",12,-0.01,,-0.39,-0.21,-0.04,-0.13,,0.02,0.81,0.51,0.22,-0.14,-0.14,,-0.24,-0.12,0,,
"Saint Kitts and Nevis",119,-0.02,0.49,-0.11,0.09,0.29,-0.39,-0.36,0.07,0.84,-0.14,-1.13,0.22,0.22,0,-0.29,-0.14,0,,0
"Canary Islands",58,-0.05,0.65,-0.27,-0.59,-0.91,-0.01,0,-1.56,-0.02,0.01,0.05,-1.04,-1.04,0,0.31,0.47,0.64,,1.62
"Algeria",84,-0.06,0.13,-0.27,0.08,0.43,,,-0.24,0,0,0,-0.09,-0.09,0.12,-0.07,-0.03,0,,-0.3
"East Timor",231,-0.06,-0.55,-0.18,-0.09,0,0.01,0.03,-0.33,0,0.03,0.05,-0.48,-0.48,0,-0.34,-0.15,0.03,,1.04
"Argentina",172,-0.07,-0.15,0.18,0.09,0,,,0.28,0,0.03,0.05,0.4,0.4,0,0.26,0.51,0.75,-1.83,0.08
"Aruba",250,-0.07,0.15,-0.1,-0.05,0,0,0,-0.93,0,0,0,0.41,0.41,,-0.37,-0.19,0,,0
"Jan Mayen",144,-0.07,,-0.28,-1.57,-2.87,,,0,0.54,0.11,-0.32,0.63,0.63,,0.94,0.47,0,,
"Saint Lucia",122,-0.07,-0.01,-0.14,-0.13,-0.11,-0.1,-0.02,-0.81,0.7,0.29,-0.13,0.3,0.3,0,-0.36,-0.19,-0.02,,0
"Democratic Republic of the Congo",199,-0.08,0.03,-0.06,-0.04,-0.01,-0.02,-0.01,-0.12,0.43,0.21,0,-0.14,-0.14,0,-0.56,-0.28,0.01,,-0.32
"South Africa",102,-0.08,-0.04,0.02,0.01,0,0,0,-0.28,2.08,1.04,0,0.23,-0.08,0.01,-0.02,-0.03,-0.04,-0.59,-0.87
"Western Sahara",63,-0.08,0.25,-0.08,-0.04,0,,,1.29,0.05,-0.04,-0.14,-1.52,-1.52,0,-0.47,-0.24,0,,-0.24
"Jarvis Island",149,-0.09,,-0.24,0.28,0.81,,,0,,,,-0.54,-0.54,,-0.23,-0.12,0,,
"New Caledonia",5,-0.09,0.2,0.05,0.08,0.11,0.02,0.1,-2.32,0.17,0.09,0,-0.66,-0.36,0,0.13,1.32,2.51,0.28,-0.28
"Sri Lanka",40,-0.09,0.42,-0.12,-0.08,-0.03,0,0.06,0.82,2.25,-0.96,-4.17,0.38,0.44,0.01,0.22,0.06,-0.09,-5.93,4.29
"Benin",99,-0.1,0.06,-0.01,-0.02,-0.03,0,0,0.06,0,0.05,0.1,-0.09,-0.09,0,-0.76,-0.38,0,,-0.59
"Marshall Islands",11,-0.1,-0.01,-0.4,-0.19,0.01,-0.19,-0.09,0.42,0.12,0.12,0.11,-0.42,-0.43,0,-0.55,-0.41,-0.28,4.66,-4.83
"Dominica",123,-0.11,-0.13,-0.06,0.47,0.99,-0.03,-0.02,-1.3,1.26,0.48,-0.3,0.18,0.18,0,-0.48,-0.24,-0.01,,-0.4
"Guinea",194,-0.12,0.18,0.07,0.12,0.17,0.03,0.03,-1.18,0.32,0.27,0.21,0.39,0.39,0,-0.38,-0.15,0.09,,-0.72
"Morocco",62,-0.12,0.13,-0.2,-0.11,-0.02,,0,0.05,0,0,0,0.27,0.27,0,-0.06,-0.76,-1.46,-0.71,0.09
"Bahrain",52,-0.13,0.34,-0.22,0,0.22,-0.24,-0.12,0.5,0.59,0.79,0.99,0.53,0.52,0,0.28,0.14,0,,-3.1
"Howland Island and Baker Island",158,-0.13,,-0.22,-0.31,-0.41,0,,0.02,,,,-0.22,-0.22,,-0.23,-0.12,0,,
"Malaysia",206,-0.13,0.9,-0.14,0.11,0.36,0.02,0.01,-0.27,-0.9,-0.98,-1.06,0.05,0.15,-0.21,-0.45,-0.22,0.01,-1.26,0.26
"Anguilla",118,-0.15,-0.03,-0.19,0,0.2,-0.18,-0.19,0.1,-0.55,-1.33,-2.11,0.16,0.16,0,-0.38,0.15,0.69,,0
"Singapore",208,-0.15,0,-0.18,-0.27,-0.37,0.07,0.06,-0.3,0,0.09,0.18,0.09,-0.11,0,-0.96,-0.48,0,-0.57,0.05
"Johnston Atoll",159,-0.16,,-0.36,0.12,0.59,-0.3,,0.02,,,,-0.52,-0.52,,-0.24,-0.12,0,,
"Namibia",101,-0.16,0.06,0.08,0.04,0,,,-0.17,1.87,0.94,0,-0.29,-0.28,0,0.11,0.06,0,-1.43,-0.51
"Netherlands",177,-0.16,0.21,-0.15,-0.47,-0.79,0,0,-0.09,0.26,0.13,0,0.32,0.7,0,0.89,0.45,0,-2.52,-0.03
"Trinidad and Tobago",126,-0.16,-0.53,0,-0.02,-0.03,-0.02,-0.02,0.88,1.19,0.1,-0.99,0.3,0.3,0,0.13,0.07,0,0.15,-2.48
"Brazil",171,-0.17,-0.42,0.1,0.19,0.28,0,0,-0.1,0.01,0.77,1.52,0.04,-0.3,0.01,0.01,0.11,0.2,-1.96,0.06
"Croatia",187,-0.17,1.01,-0.15,-0.08,0,,,-0.38,0,-0.01,-0.01,1.22,0.93,0.58,0.51,2.97,5.42,-7.39,1.55
"Djibouti",46,-0.17,-0.03,-0.16,-0.03,0.1,-0.26,-0.06,-1.83,-0.02,-0.09,-0.17,0.76,0.76,0,-0.17,-0.09,0,,0.1
"Brunei",247,-0.18,0,-0.16,-0.12,-0.08,0,-0.01,0.11,-1.3,-0.67,-0.04,-0.05,-2.35,0.02,-1.31,-0.65,0,,2.04
"Togo",98,-0.18,0.08,0.07,0.3,0.54,0,0.02,-0.32,0.12,0.06,0,-0.22,-0.22,0,-0.57,-0.28,0,,-1.28
"Chile",224,-0.19,0.1,0.26,0.2,0.15,,,0.25,0.19,0.09,0,-0.54,-1.68,-0.08,0.19,0.21,0.23,-1.11,0.45
"Monaco",185,-0.19,0.15,-0.32,-0.32,,,,-0.21,0.01,0.18,0.35,-0.43,-0.43,0,0.74,-1.02,-2.77,,0.32
"Palmyra Atoll",150,-0.2,,-0.23,-0.15,-0.07,-0.24,,0.02,,,,-0.51,-0.51,,-0.24,-0.12,0,,
"Kuwait",51,-0.22,0,-0.28,-0.19,-0.09,-0.19,-0.15,-0.6,0,0,0,-0.13,-0.15,0,0.22,-1.21,-2.65,,0.48
"Bermuda",108,-0.23,-0.27,-0.12,-0.11,-0.09,-0.23,0,0,-1.42,-2.2,-2.99,0.69,0.69,0,0.35,0.17,0,,-0.08
"El Salvador",134,-0.23,0.07,-0.11,-0.07,-0.04,-0.05,-0.04,-0.34,0,0.27,0.54,0.14,0.02,0.02,-0.61,-0.31,0,1.84,-3.66
"Guinea Bissau",193,-0.23,0.03,-0.06,-0.04,-0.01,-0.02,-0.02,0.23,1.46,0.67,-0.12,0.24,0.24,0,-0.54,-0.27,0,,-2.86
"Belize",164,-0.24,-0.06,-0.15,-0.1,-0.05,-0.04,-0.04,0.32,0,0,0,0.44,2.06,0.01,-0.25,-0.12,0,-5.29,0.87
"Ghana",106,-0.24,0.08,0.01,-0.13,-0.27,0,0,-0.08,0.63,-0.13,-0.89,0.03,0.03,0,-0.54,-0.35,-0.15,-1.41,-0.44
